PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
IosLj,6r1/2k2p1p/1qP1p3/3rP3/4Q1p1/P7/5PPP/1R4K1 w - - 2 28,b1b6 d5d1 e4e1 d1e1,647,89,100,1501,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/i1zPnQ05#55,
MXFHN,5rk1/5pp1/4pP1p/2Pp3R/2n5/r3B3/2P1BP2/2K4R w - - 1 27,f6g7 a3a1,649,80,100,1972,mate mateIn1 middlegame oneMove,https://lichess.org/Etlq9QNu#53,
my9Xk,r1b2rBk/ppp2pp1/2n5/6q1/1P4P1/P3P3/1BQPP3/R3K2R b KQ - 4 21,h8g8 c2h7,650,80,100,1234,master mate mateIn1 middlegame oneMove,https://lichess.org/pZsg8d86/black#42,
cScYs,r1b1k1nr/pppp1ppp/5q2/2b1N3/1PB1P3/8/P1nP1PPP/RNBQK2R w KQkq - 0 7,e1f1 f6f2,651,86,100,1941,mate mateIn1 oneMove opening,https://lichess.org/W14u8lI9#13,Ruy_Lopez Ruy_Lopez_Bird_Variation
7n4X2,7R/5k2/4p3/2bpP2p/5Pp1/3B2P1/2P3KP/r7 w - - 10 44,h8h5 a1g1,653,102,100,1065,endgame master mate mateIn1 oneMove operaMate,https://lichess.org/E4AxFjh5#87,
wdEAA,6k1/p3r1p1/r1p3R1/q1p5/1p5P/2NP3R/PPPQ1P2/1K6 w - - 2 30,c3e4 a5a2 b1c1 a2a1,654,104,100,1670,mate mateIn2 middlegame queensideAttack short,https://lichess.org/uc9E1hSD#59,
TzVIa,r1bq1rk1/pp1n1ppp/2p2b2/2Ppp3/3P4/P1N1PNP1/1PQ2PP1/R3KB1R b KQ - 1 12,e5d4 c2h7,654,84,100,1602,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/v64NfBkA/black#24,Semi-Slav_Defense Semi-Slav_Defense_Other_variations
HForO,8/8/p1R4p/P5pk/1P1q2P1/7P/3r2PK/3R4 b - - 0 34,h5h4 c6h6,655,92,100,1114,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/LqFqHyXn/black#68,
xojE2,k1r4r/1p2qp1p/3BPn2/p7/6p1/PQb5/4BPPP/1R3RK1 b - - 4 22,e7d6 b3b7,655,105,100,1135,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/U8VlGgN1/black#44,
rNWK2,3rr1k1/2p2ppp/p1Q5/1p6/5B2/2P2N2/PP3PPP/5qK1 w - - 0 23,g1f1 d8d1 f3e1 d1e1,658,90,100,1207,endgame mate mateIn2 short,https://lichess.org/iJYPHo6y#45,
qacDB,3r1rk1/pp3pp1/2pp1q1p/2b1p1n1/4P3/1BPP1NPP/PP3P2/R2QK2R w KQ - 1 18,f3g5 f6f2,660,91,100,1707,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/XXywOrgx#35,Italian_Game Italian_Game_Two_Knights_Defense
apXHq,7k/p5r1/7p/2p1Q1p1/2P3P1/2P1KPP1/6r1/8 w - - 2 44,e3e4 g2e2 e4d5 e2e5,665,85,100,1146,crushing endgame queenRookEndgame short skewer,https://lichess.org/42flMXgP#87,
cbjwf,1r1q1brk/pb3p1R/1ppnpPp1/6P1/2pP1P2/2N5/PP4BP/R1B1Q1K1 b - - 0 20,h8h7 e1h4 f8h6 h4h6,668,79,100,1091,mate mateIn2 middlegame short,https://lichess.org/JZaANpdx/black#40,
vdqDl,r2b1rk1/1p5p/2p4R/2P5/1P3pq1/6P1/2Q2PK1/1RB5 b - - 0 30,f4g3 c2h7,672,78,100,1206,mate mateIn1 middlegame oneMove,https://lichess.org/JlOYzrwh/black#60,
PLPax,1rq1r2k/pp4pp/5b2/7Q/P2P1N2/4B3/1P3PPP/5RK1 w - - 5 23,f1c1 c8c1 e3c1 e8e1,673,81,100,1096,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/c7BNeIDi#45,
JypAq,1r4k1/1q3ppp/2b5/8/3Q4/4PB2/1P3PPP/1K1R4 b - - 5 26,c6f3 d4d8 b8d8 d1d8,673,78,100,1210,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/afgLR6aI/black#52,
